Operation,TenantName,TenantId,Environment,InitialInstanceType,FinalInstanceType,EventDate
increase,colmobil,29460,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-07T07:01:05+03:00
increase,gchhs,29510,prod5,m6i.4xlarge,m6i.8xlarge,2024-06-07T07:01:05+03:00
increase,cet,30078,prod,m6i.4xlarge,m6i.8xlarge,2024-06-07T07:01:05+03:00
restart,town-of-plymouth,28508,prod,,,2024-06-06T07:01:47+03:00
increase,asfinag,26366,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-06T07:00:59+03:00
increase,sos-ga,29173,prod,m6i.4xlarge,m6i.8xlarge,2024-06-06T07:00:59+03:00
restart,pidilite,28506,prod9,,,2024-06-05T18:01:38+03:00
increase,pgpglass,28043,prod9,m6i.4xlarge,m6i.8xlarge,2024-06-05T18:00:45+03:00
restart,sf-dev,28504,prod,,,2024-06-05T07:01:52+03:00
restart,trinity,28503,prod,,,2024-06-05T07:01:52+03:00
restart,83e7bdf7,28499,prod4,,,2024-06-05T07:01:52+03:00
restart,cf9b775c,28500,prod4,,,2024-06-05T07:01:52+03:00
increase,baxter,27756,prod,m6i.16xlarge,m6i.24xlarge,2024-06-05T07:00:38+03:00
increase,prpimaging,27793,prod5,m6i.4xlarge,m6i.8xlarge,2024-06-05T07:00:38+03:00
increase,adaro,29271,prod7,m6i.4xlarge,m6i.8xlarge,2024-06-04T18:00:40+03:00
restart,klinikum-gap,28487,prod4,,,2024-06-04T07:01:53+03:00
restart,solutions-eu,28491,prod4,,,2024-06-04T07:01:53+03:00
restart,arkema,28492,prod4,,,2024-06-04T07:01:53+03:00
restart,gmr,28226,prod,,,2024-06-04T07:01:53+03:00
increase,copbfl,20474,prod,m6i.4xlarge,m6i.8xlarge,2024-06-04T07:00:36+03:00
restart,flagler-cocc-fl,27152,prod,,,2024-06-02T07:01:45+03:00
increase,almacgroup,20492,prod,m6i.8xlarge,m6i.12xlarge,2024-06-02T07:00:46+03:00
increase,iwc,29696,prod4,m6i.4xlarge,m6i.8xlarge,2024-06-02T07:00:46+03:00
increase,pepsico,1086,prod,m6i.8xlarge,m6i.12xlarge,2024-06-01T07:00:46+03:00
increase,carrefour,24421,prod4,m6i.12xlarge,m6i.16xlarge,2024-06-01T07:00:46+03:00
increase,aei,26350,prod,m6i.8xlarge,m6i.12xlarge,2024-06-01T07:00:46+03:00
increase,summitbhc,29174,prod,m6i.4xlarge,m6i.8xlarge,2024-06-01T07:00:46+03:00
increase,gretb-ie,,,m6i.4xlarge,m6i.8xlarge,2024-06-01T07:00:46+03:00
increase,olin,25400,prod,m6i.8xlarge,m6i.12xlarge,2024-05-31T07:00:36+03:00
increase,kiuc,27041,prod,m6i.4xlarge,m6i.8xlarge,2024-05-31T07:00:36+03:00
increase,palm-bay-fl,27112,prod,m6i.4xlarge,m6i.8xlarge,2024-05-31T07:00:36+03:00
increase,seminole-electric,28057,prod,m6i.4xlarge,m6i.8xlarge,2024-05-31T07:00:36+03:00
increase,bupa-mx,29479,prod,m6i.4xlarge,m6i.8xlarge,2024-05-31T07:00:36+03:00
increase,uic,29884,prod,m6i.4xlarge,m6i.8xlarge,2024-05-31T07:00:36+03:00
restart,rana,21724,prod4,,,2024-05-30T07:01:40+03:00
restart,airproducts,25961,prod4,,,2024-05-30T07:01:40+03:00
increase,themdc,20470,prod,m6i.4xlarge,m6i.8xlarge,2024-05-30T07:00:48+03:00
increase,helpathome,22517,prod,m6i.4xlarge,m6i.8xlarge,2024-05-30T07:00:48+03:00
increase,lab-brite,26507,prod,m6i.4xlarge,m6i.8xlarge,2024-05-30T07:00:48+03:00
increase,nrm,27437,prod,m6i.4xlarge,m6i.8xlarge,2024-05-30T07:00:48+03:00
increase,lacdhs,27878,prod,m6i.16xlarge,m6i.24xlarge,2024-05-30T07:00:48+03:00
increase,intercam-mx,28836,prod,m6i.4xlarge,m6i.8xlarge,2024-05-30T07:00:48+03:00
increase,bidfood,50000034,prod5,m6i.4xlarge,m6i.8xlarge,2024-05-30T07:00:48+03:00
increase,lab-txt,21500,prod4,m6i.4xlarge,m6i.8xlarge,2024-05-29T07:00:41+03:00
increase,elal,28753,prod4,m6i.4xlarge,m6i.8xlarge,2024-05-29T07:00:41+03:00
increase,akunacapital,29809,prod,m6i.4xlarge,m6i.8xlarge,2024-05-29T07:00:41+03:00
increase,amexgbt,30039,prod,m6i.4xlarge,m6i.8xlarge,2024-05-29T07:00:41+03:00
decrease,pgpglass,28043,prod9,m6i.8xlarge,m6i.4xlarge,2024-05-28T18:01:31+03:00
restart,amitim,28441,prod4,,,2024-05-28T07:01:21+03:00
restart,uchicago,28450,prod,,,2024-05-28T07:01:21+03:00
restart,esboces,28440,prod,,,2024-05-27T07:01:17+03:00
increase,kramerav,20275,prod,m6i.4xlarge,m6i.8xlarge,2024-05-27T07:00:33+03:00
increase,kissimmee-fl,27290,prod,m6i.4xlarge,m6i.8xlarge,2024-05-27T07:00:33+03:00
restart,tac-lab,28432,prod,,,2024-05-26T07:01:34+03:00
increase,aim-global,29732,prod,m6i.4xlarge,m6i.8xlarge,2024-05-26T07:00:34+03:00
increase,videndum-italy,24323,prod4,m6i.4xlarge,m6i.8xlarge,2024-05-24T07:00:40+03:00
increase,vicdet,25188,prod5,m6i.4xlarge,m6i.8xlarge,2024-05-24T07:00:40+03:00
increase,metro-ca,29746,prod,m6i.4xlarge,m6i.8xlarge,2024-05-24T07:00:40+03:00
restart,samtank,28413,prod4,,,2024-05-22T07:01:48+03:00
restart,kestrelcoal,21622,prod5,,,2024-05-22T07:01:48+03:00
increase,halton,26982,prod,m6i.8xlarge,m6i.12xlarge,2024-05-22T07:00:34+03:00
decrease,ntupoc,26796,prod7,m6i.8xlarge,m6i.4xlarge,2024-05-21T18:01:54+03:00
decrease,sbst,27204,prod7,m6i.8xlarge,m6i.4xlarge,2024-05-21T18:01:54+03:00
decrease,sinarmas,27885,prod7,m6i.8xlarge,m6i.4xlarge,2024-05-21T18:01:54+03:00
restart,lab-seccom,28409,prod5,,,2024-05-21T07:01:51+03:00
restart,ucoh,28406,prod,,,2024-05-21T07:01:51+03:00
increase,amadeus,21924,prod4,m6i.8xlarge,m6i.12xlarge,2024-05-21T07:00:58+03:00
increase,harley,26593,prod4,m6i.4xlarge,m6i.8xlarge,2024-05-21T07:00:58+03:00
increase,missouri,28070,prod,m6i.8xlarge,m6i.12xlarge,2024-05-21T07:00:58+03:00
increase,indep,29733,prod,m6i.4xlarge,m6i.8xlarge,2024-05-21T07:00:58+03:00
restart,lab-contentsecurity,28399,prod5,,,2024-05-20T07:01:56+03:00
restart,gbin,28397,prod,,,2024-05-20T07:01:56+03:00
restart,travelport,20219,prod,,,2024-05-20T07:01:56+03:00
restart,lab-adventone,28398,prod5,,,2024-05-20T07:01:56+03:00
restart,emirates-hospital,25055,prod4,,,2024-05-20T07:01:56+03:00
increase,insightpartners,20498,prod,m6i.4xlarge,m6i.8xlarge,2024-05-20T07:00:48+03:00
increase,stpatricks,25789,prod4,m6i.4xlarge,m6i.8xlarge,2024-05-20T07:00:48+03:00
increase,weizmann,27743,prod4,m6i.4xlarge,m6i.8xlarge,2024-05-20T07:00:48+03:00
restart,h-ju,28389,prod4,,,2024-05-19T07:01:24+03:00
increase,koppers,27723,prod,m6i.4xlarge,m6i.8xlarge,2024-05-19T07:00:32+03:00
increase,etpq-ec,29683,prod,m6i.4xlarge,m6i.8xlarge,2024-05-19T07:00:32+03:00
increase,pgpglass,28043,prod9,m6i.4xlarge,m6i.8xlarge,2024-05-18T18:00:37+03:00
increase,mclane,24634,prod,m6i.8xlarge,m6i.12xlarge,2024-05-18T07:00:39+03:00
restart,ynuc-isc,28225,prod,,,2024-05-17T07:01:17+03:00
restart,bgkliniken,28370,prod4,,,2024-05-16T07:01:51+03:00
restart,atoz,28371,prod4,,,2024-05-16T07:01:51+03:00
increase,tsystem,23065,prod4,m6i.8xlarge,m6i.12xlarge,2024-05-16T07:00:46+03:00
